taxon,reference_no,subfamily,Tribe,Genus,Fossil,min_ma,max_ma,Notes
Agroecomyrmex_duisburgi,44414,Agroecomyrmecinae,None,Agroecomyrmex,Yes,33.9,38,Note
Eulithomyrmex_rugosus,4971,Agroecomyrmecinae,None,Eulithomyrmex,Yes,33.9,37.2,Note
Eulithomyrmex_striatus,4971,Agroecomyrmecinae,None,Eulithomyrmex,Yes,33.9,37.2,Note
Ambyloponinae,59088,Ambyloponinae,None,None,Yes,20.44,23.03,Note
Amblyoponini,53165,Ambyloponinae,Amblyoponini,Amblyoponini,Yes,20.44,23.03,Note
Casaleia_eocenica,43781,Ambyloponinae,None,Casaleia,Yes,40.4,48.6,Note
Casaleia_inversa,41286,Ambyloponinae,None,Casaleia,Yes,5.333,15.97,Note
Casaleia_longiventris,37344,Ambyloponinae,None,Casaleia,Yes,11.608,12.7,Note
Casaleia_orientalis,56094,Ambyloponinae,None,Casaleia,Yes,33.9,38,Note
Myopopone_sinensis,16579,Ambyloponinae,None,Myopopone,Yes,11.608,15.97,Note
Stigmatomma_electrina,44602,Ambyloponinae,None,Stigmatomma,Yes,33.9,38,Note
Stigmatomma_groehni,44602,Ambyloponinae,None,Stigmatomma,Yes,33.9,38,Note
Aneuretellus_deformis,44404,Aneuretinae,None,Aneuretellus,Yes,41.3,47.8,Note
Britaneuretus_anglicus,37729,Aneuretinae,None,Britaneuretus,Yes,33.9,38,Note
Burmomyrma_rossi,39313,Aneuretinae,None,Burmomyrma,Yes,93.5,99.6,Note
Cananeuretus_occidentalis,36535,Aneuretinae,None,Cananeuretus,Yes,70.6,83.5,Note
Mianeuretus,44418,Aneuretinae,None,Mianeuretus,Yes,46.2,50.3,Note
Mianeuretus_eocenicus,44418,Aneuretinae,None,Mianeuretus,Yes,46.2,50.3,Note
Mianeuretus_mirabilis,4971,Aneuretinae,None,Mianeuretus,Yes,33.9,37.2,Note
Paraneuretus_dubovikoffi,56094,Aneuretinae,None,Paraneuretus,Yes,33.9,38,Note
Paraneuretus_longicornis,40999,Aneuretinae,None,Paraneuretus,Yes,33.9,38,Note
Paraneuretus_tornquisti,40999,Aneuretinae,None,Paraneuretus,Yes,33.9,38,Note
Pityomyrmex_tornquisti,40999,Aneuretinae,None,Pityomyrmex,Yes,33.9,38,Note
Protaneuretus_succineus,40999,Aneuretinae,None,Protaneuretus,Yes,33.9,38,Note
Archaeopone_kzylzharica,37059,Armaniinae,None,Archaeopone,Yes,89.8,93.9,Note
Archaeopone_taylori,35238,Armaniinae,None,Archaeopone,Yes,70.6,83.5,Note
Armania,39728,Armaniinae,None,Armania,Yes,89.8,93.9,Note
Armania_capitata,39728,Armaniinae,None,Armania,Yes,89.8,93.9,Note
Armania_curiosa,35238,Armaniinae,None,Armania,Yes,70.6,83.5,Note
Armania_pristina,39728,Armaniinae,None,Armania,Yes,89.8,93.9,Note
Armania_robusta,35238,Armaniinae,None,Armania,Yes,70.6,83.5,Stem Ant?
Dolichomyrma_latipes,37059,Armaniinae,None,Dolichomyrma,Yes,89.8,93.9,Note
Dolichomyrma_longiceps,37059,Armaniinae,None,Dolichomyrma,Yes,89.8,93.9,Note
Khetania_mandibulata,39728,Armaniinae,None,Khetania,Yes,89.8,93.9,Note
Orapia_minor,38353,Armaniinae,None,Orapia,Yes,89.8,93.9,Note
Orapia_rayneri,38353,Armaniinae,None,Orapia,Yes,89.8,93.9,Note
Poneropterus_sphecoides,35238,Armaniinae,None,Poneropterus,Yes,70.6,83.5,Note
Pseudarmania_aberrans,35238,Armaniinae,None,Pseudarmania,Yes,70.6,83.5,Stem Ant?
Pseudarmania_rasnitsyni,35238,Armaniinae,None,Pseudarmania,Yes,70.6,83.5,Stem Ant?
Brownimecia_clavata,5815,Brownimeciinae,,Brownimecia,Yes,89.8,93.9,Note
Alloiomma_changweiensis,16579,Dolichoderinae,None,Alloiomma,Yes,11.608,15.97,Note
Alloiomma_differentialis,36942,Dolichoderinae,None,Alloiomma,Yes,11.608,15.97,Note
Asymphylomyrmex_balticus,40999,Dolichoderinae,None,Asymphylomyrmex,Yes,33.9,38,Note
Azteca,49381,Dolichoderinae,,Azteca,Yes,15.97,23.03,Note
Azteca_alpha,5207,Dolichoderinae,,Azteca,Yes,13.82,20.44,Note
Azteca_eumeces,5207,Dolichoderinae,,Azteca,Yes,13.82,20.44,Note
Chronomyrmex_medicinehatensis,47972,Dolichoderinae,None,Chronomyrmex,Yes,70.6,83.5,Note
Ctenobethylus_goepperti,38999,Dolichoderinae,None,Ctenobethylus,Yes,28.4,33.9,Note
Dolichoderinae,34859,Dolichoderinae,None,None,Yes,5.333,7.246,Note
Dolichoderus,8673,Dolichoderinae,None,Dolichoderus,Yes,5.333,55.8,Note
Dolichoderus_(Hypoclinea)_passalomma,44557,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus_affectus,38999,Dolichoderinae,None,Dolichoderus,Yes,28.4,33.9,Note
Dolichoderus_antiquus,4971,Dolichoderinae,None,Dolichoderus,Yes,33.9,37.2,Note
Dolichoderus_balticus,38999,Dolichoderinae,None,Dolichoderus,Yes,23.03,28.1,Note
Dolichoderus_brevicornis,44557,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus_brevipalpis,44558,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus_brevipennis,44558,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus_bruneti,38999,Dolichoderinae,None,Dolichoderus,Yes,28.4,33.9,Note
Dolichoderus_caribbaeus,5207,Dolichoderinae,None,Dolichoderus,Yes,13.82,20.44,Note
Dolichoderus_coquandi,38999,Dolichoderinae,None,Dolichoderus,Yes,28.4,33.9,Note
Dolichoderus_cornutus,44414,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus_dibolius,5207,Dolichoderinae,None,Dolichoderus,Yes,13.82,20.44,Note
Dolichoderus_dlusskyi,55770,Dolichoderinae,None,Dolichoderus,Yes,41.3,47.8,Note
Dolichoderus_elegans,40999,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus_evolans,16579,Dolichoderinae,None,Dolichoderus,Yes,11.608,15.97,Note
Dolichoderus_explicans,38738,Dolichoderinae,None,Dolichoderus,Yes,28.4,33.9,Note
Dolichoderus_granulinotus,44558,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus_heeri,51760,Dolichoderinae,None,Dolichoderus,Yes,11.608,12.7,Note
Dolichoderus_jiaoyanshanensis,16579,Dolichoderinae,None,Dolichoderus,Yes,11.608,15.97,Note
Dolichoderus_kohlsi,44418,Dolichoderinae,None,Dolichoderus,Yes,46.2,50.3,Note
Dolichoderus_kutscheri,44558,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus_kutschlinicus,44564,Dolichoderinae,None,Dolichoderus,Yes,33.9,37.2,Note
Dolichoderus_lacinius,16579,Dolichoderinae,None,Dolichoderus,Yes,11.608,15.97,Note
Dolichoderus_longipennis,44414,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus_longipilosus,44557,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus_lucidus,44558,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus_luridivenosus,36942,Dolichoderinae,None,Dolichoderus,Yes,11.608,15.97,Note
Dolichoderus_mesosternalis,40999,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus_nanus,44557,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus_obliteratus,39765,Dolichoderinae,None,Dolichoderus,Yes,23.03,33.9,Note
Dolichoderus_oviformis,38999,Dolichoderinae,None,Dolichoderus,Yes,33.9,37.2,Note
Dolichoderus_passalomma,40999,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus_perkovskyi,44558,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus_pilipes,44558,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus_pinguis,56094,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus_polessus,44557,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus_polonicus,44557,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus_primitivus,5207,Dolichoderinae,None,Dolichoderus,Yes,13.82,20.44,Note
Dolichoderus_prolaminatus,5207,Dolichoderinae,None,Dolichoderus,Yes,13.82,20.44,Note
Dolichoderus_punctatus,44558,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus_robustus,44557,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus_rohweri,4971,Dolichoderinae,None,Dolichoderus,Yes,33.9,37.2,Note
Dolichoderus_sculpturatus,44414,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus_tauricus,41286,Dolichoderinae,None,Dolichoderus,Yes,13.82,15.97,Note
Dolichoderus_tertiarius,44414,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus_transversipetiolaris,36942,Dolichoderinae,None,Dolichoderus,Yes,11.608,15.97,Note
Dolichoderus_vectensis,5061,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus_vexillarius,40999,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus_vlaskini,44558,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
Dolichoderus_zherichini,44578,Dolichoderinae,None,Dolichoderus,Yes,33.9,38,Note
